,0,0,0,0,0
fecha,lluvia,luz,viento,temperatura,humedad
2025-12-04 17:10:20,4095,1909.17,0,13.4,60
2025-12-04 17:10:28,4095,1900,0,13.3,60
2025-12-04 17:10:37,4095,1891.67,0,13.4,60
2025-12-04 17:10:46,4095,1882.5,0,13.3,60
2025-12-04 17:10:54,4095,1873.33,0,13.4,60
2025-12-04 17:11:07,4095,1859.17,0,13.4,60
2025-12-04 17:11:20,4095,1845.83,0,13.3,60
2025-12-04 17:11:31,4095,1834.17,0,13.3,60
2025-12-04 17:11:39,4095,1825,0,13.3,60
2025-12-04 17:11:47,4095,1816.67,0,13.3,60
